id_client,type_personne,nom_complet_client,id_revendeur,id_territoire,numero_client
149,EM,Andy M Ruth,516,3,AW00000149
150,EM,Michael T Vanderhyde,700,4,AW00000150
151,EM,Rostislav E Shabalin,526,4,AW00000151
152,EM,Yuhong L Li,650,5,AW00000152
153,EM,Hanying P Feng,514,5,AW00000153
154,EM,Raymond K Sam,626,6,AW00000154
155,EM,Fadi K Fakhouri,648,6,AW00000155
156,EM,Lane M Sacksteder,512,6,AW00000156
157,EM,Linda A Randall,628,7,AW00000157
158,EM,Shelley N Dyck,646,8,AW00000158
159,EM,Terrence W Earls,456,9,AW00000159
160,EM,Jeff V Hay,658,10,AW00000160
161,EM,Kirk J Koenigsbauer,820,2,AW00000161
162,EM,Laura C Steele,454,2,AW00000162
163,EM,Alex M Nayberg,660,1,AW00000163
164,EM,Andrew M Cencini,818,1,AW00000164
165,EM,Chris T Preston,506,4,AW00000165
166,EM,Jack S Richins,662,4,AW00000166
167,EM,David N Johnson,816,4,AW00000167
168,EM,Garrett R Young,504,4,AW00000168
169,EM,Susan A Metters,804,1,AW00000169
170,EM,George Z Li,814,5,AW00000170
171,EM,David A Yalovsky,502,5,AW00000171
172,EM,Marc J Ingle,806,6,AW00000172
173,EM,Eugene R Zabokritski,812,6,AW00000173
174,EM,Benjamin R Martin,500,6,AW00000174
175,EM,Reed T Koch,808,7,AW00000175
176,EM,David Oliver Lawrence,446,8,AW00000176
177,EM,Russell M King,688,9,AW00000177
178,EM,John N Frum,810,10,AW00000178
179,EM,Jan S Miksovsky,444,2,AW00000179
180,EM,Katie L McAskill-White,686,3,AW00000180
181,EM,Michael T Hines,1292,1,AW00000181
182,EM,Nitin S Mirchandani,442,1,AW00000182
183,EM,Barbara S Decker,684,3,AW00000183
184,EM,John Y Chen,1294,4,AW00000184
185,EM,Stefen A Hesse,1196,4,AW00000185
186,EM,Shane S Kim,682,4,AW00000186
187,EM,Yvonne S McKay,1296,4,AW00000187
188,EM,Douglas B Hite,1194,5,AW00000188
189,EM,Janeth M Esteves,680,5,AW00000189
190,EM,Robert J Rounthwaite,1298,6,AW00000190
191,EM,Lionel C Penuchot,1192,6,AW00000191
192,EM,Brenda M Diaz,678,6,AW00000192
193,EM,Alejandro E McGuel,1300,7,AW00000193
194,EM,Fred T Northup,1190,8,AW00000194
195,EM,Kevin H Liu,676,9,AW00000195
196,EM,Shammi G Mohamed,1302,10,AW00000196
197,EM,Rajesh M Patel,1188,3,AW00000197
198,EM,Lorraine O Nay,452,3,AW00000198
199,EM,Paula R Nartker,1304,1,AW00000199
200,EM,Frank T Lee,1186,1,AW00000200
201,EM,Brian T Lloyd,450,4,AW00000201
202,EM,Tawana G Nusbaum,1306,4,AW00000202
203,EM,Ken L Myer,1184,4,AW00000203
204,EM,Gabe B Mares,448,4,AW00000204
205,EM,Lori A Kane,1404,4,AW00000205
206,EM,Stuart V Munson,1182,5,AW00000206
207,EM,Greg F Alderson,414,5,AW00000207
208,EM,Scott R Gode,1406,6,AW00000208
209,EM,Kathie E Flood,1180,6,AW00000209
210,EM,Belinda M Newman,412,6,AW00000210
211,EM,Hazem E Abolrous,1408,7,AW00000211
212,EM,Peng J Wu,1178,8,AW00000212
213,EM,Sootha T Charncherngkha,410,9,AW00000213
214,EM,Andreas T Berglund,1410,10,AW00000214
215,EM,Mark L Harrington,1176,2,AW00000215
216,EM,Sean P Alexander,544,2,AW00000216
217,EM,Zainal T Arifin,1412,1,AW00000217
218,EM,Tengiz N Kharatishvili,1174,1,AW00000218
219,EM,Sean N Chai,1172,3,AW00000219
220,EM,Karen R Berge,542,3,AW00000220
221,EM,Chris K Norred,1414,4,AW00000221
222,EM,A. Scott Wright,1170,3,AW00000222
223,EM,Sairaj L Uddin,1158,3,AW00000223
224,EM,William S Vong,1416,5,AW00000224
225,EM,Alan J Brewer,1168,5,AW00000225
226,EM,Brian P LaMee,1156,6,AW00000226
227,EM,Gary E. Altman,1418,6,AW00000227
228,EM,Christian E Kleinerman,1166,6,AW00000228
229,EM,Lori K Penor,1154,7,AW00000229
230,EM,Stuart J Macrae,1420,8,AW00000230
231,EM,Jo L Berry,550,9,AW00000231
232,EM,Pat H Coleman,1152,10,AW00000232
233,EM,Magnus E Hedlund,1422,2,AW00000233
234,EM,Laura F Norman,548,2,AW00000234
235,EM,Paula M Barreto de Mattos,1150,1,AW00000235
236,EM,Grant N Culbertson,1424,1,AW00000236
237,EM,Hao O Chen,546,3,AW00000237
238,EM,Vidur X Luthra,1148,3,AW00000238
239,EM,Mindy C Martin,1426,4,AW00000239
240,EM,Willis T Johnson,1956,4,AW00000240
241,EM,David J Liu,1146,4,AW00000241
242,EM,Deborah E Poe,1428,5,AW00000242
243,EM,Candy L Spoon,1954,5,AW00000243
244,EM,Bryan A Walton,1144,6,AW00000244
245,EM,Barbara C Moreland,1430,6,AW00000245
246,EM,Dragan K Tomic,1952,6,AW00000246
247,EM,Janet L Sheperdigian,1142,7,AW00000247
248,EM,Mike K Seamans,1432,8,AW00000248
249,EM,Wendy Beth Kahn,1950,9,AW00000249
250,EM,Sheela H Word,1140,10,AW00000250
251,EM,Mikael Q Sandberg,1434,2,AW00000251
252,EM,Arvind B Rao,1948,2,AW00000252
253,EM,Linda P Meisner,1138,1,AW00000253
254,EM,Fukiko J Ogisu,472,1,AW00000254
255,EM,Gordon L Hee,1946,4,AW00000255
256,EM,Frank S Pellow,1136,4,AW00000256
257,EM,Eric S Kurjan,474,4,AW00000257
258,EM,Erin M Hagens,1944,4,AW00000258
259,EM,Ben T Miller,1134,4,AW00000259
260,EM,Annette L Hill,476,5,AW00000260
261,EM,Reinout N Hillmann,1942,5,AW00000261
262,EM,David M Barber,1132,6,AW00000262
263,EM,Jean E Trenary,580,6,AW00000263
264,EM,Stephanie A Conroy,1940,6,AW00000264
265,EM,Ashvini R Sharma,590,7,AW00000265
266,EM,Peter I Connelly,582,8,AW00000266
267,EM,Karen A Berg,1938,9,AW00000267
268,EM,Ramesh V Meyyappan,588,10,AW00000268
269,EM,Dan K Bacon,584,2,AW00000269
270,EM,François P Ajenstat,1936,2,AW00000270
271,EM,Dan B Wilson,586,1,AW00000271
272,EM,Janaina Barreiro Gambaro Bueno,612,1,AW00000272
273,EM,Brian S Welcker,1934,4,AW00000273
274,SP,Stephen Y Jiang,952,3,AW00000274
275,SP,Michael G Blythe,614,4,AW00000275
276,SP,Linda C Mitchell,1932,4,AW00000276
277,SP,Jillian Carson,950,4,AW00000277
278,SP,Garrett R Vargas,616,5,AW00000278
279,SP,Tsvi Michael Reiter,1930,5,AW00000279
280,SP,Pamela O Ansman-Wolfe,948,6,AW00000280
281,SP,Shu K Ito,618,6,AW00000281
282,SP,José Edvaldo Saraiva,1928,6,AW00000282
283,SP,David R Campbell,946,7,AW00000283
284,SP,Tete A Mensa-Annan,758,8,AW00000284
285,SP,Syed E Abbas,408,9,AW00000285
286,SP,Lynn N Tsoflias,944,10,AW00000286
287,SP,Amy E Alberts,760,3,AW00000287
288,SP,Rachel B Valdez,406,3,AW00000288
289,SP,Jae B Pak,498,1,AW00000289
290,SP,Ranjit R Varkey Chudukatil,762,1,AW00000290
291,SC,Gustavo Achong,398,4,AW00000291
293,SC,Catherine R. Abel,764,1,AW00000293
295,SC,Kim Abercrombie,1490,4,AW00000295
297,SC,Humberto Acevedo,394,5,AW00000297
299,SC,Pilar Ackerman,768,6,AW00000299
301,SC,Frances B. Adams,1486,7,AW00000301
303,SC,Margaret J. Smith,384,9,AW00000303
305,SC,Carla J. Adams,772,2,AW00000305
307,SC,Jay Adams,1482,1,AW00000307
309,SC,Ronald L. Adina,372,4,AW00000309
311,SC,Samuel N. Agcaoili,776,4,AW00000311
313,SC,James T. Aguilar,1478,4,AW00000313
315,SC,Robert E. Ahlering,440,5,AW00000315
317,SC,François Ferrier,780,6,AW00000317
319,SC,Kim Akers,1474,7,AW00000319
321,SC,Lili J. Alameda,436,9,AW00000321
323,SC,Amy E. Alberts,540,3,AW00000323
325,SC,Anna A. Albright,1470,1,AW00000325
327,SC,Milton J. Albury,1994,3,AW00000327
329,SC,Paul L. Alcorn,470,4,AW00000329
331,SC,Gregory F. Alderson,1990,4,AW00000331
333,SC,J. Phillip L. Alexander,968,5,AW00000333
335,SC,Michelle Alexander,466,6,AW00000335
337,SC,Sean P. Jacobson,1986,7,AW00000337
339,SC,Phyllis A. Allen,972,9,AW00000339
341,SC,Marvin N. Allen,576,2,AW00000341
343,SC,Michael Allen,1982,1,AW00000343
345,SC,Cecil J. Allison,976,4,AW00000345
347,SC,Oscar L. Alpuerto,572,4,AW00000347
349,SC,Sandra J. Altamirano,1978,4,AW00000349
351,SC,Selena R. Alvarado,354,5,AW00000351
353,SC,Emilio R. Alvaro,608,6,AW00000353
355,SC,Maxwell J. Amland,1234,7,AW00000355
357,SC,Mae N. Anderson,358,9,AW00000357
359,SC,Ramona J. Antrim,604,2,AW00000359
361,SC,Sabria B. Appelbaum,1230,1,AW00000361
363,SC,Hannah R. Arakawa,374,3,AW00000363
365,SC,Kyley J. Arbelaez,754,4,AW00000365
367,SC,Tom H Johnston,1226,4,AW00000367
369,SC,Thomas B. Armstrong,362,5,AW00000369
371,SC,John Arthur,750,6,AW00000371
373,SC,Chris Ashton,1222,7,AW00000373
375,SC,Teresa Atkinson,1854,9,AW00000375
377,SC,John P. Ault,746,3,AW00000377
379,SC,Robert A. Avalos,1218,1,AW00000379
381,SC,Stephen M. Ayers,1858,3,AW00000381
383,SC,Phillip M. Bacalzo,742,4,AW00000383
385,SC,Daniel Blanco,1214,4,AW00000385
387,SC,Cory K. Booth,1862,5,AW00000387
389,SC,James B. Bailey,738,6,AW00000389
391,SC,Douglas A. Baldwin,1210,7,AW00000391
393,SC,Jennifer B. Bales,1866,9,AW00000393
395,SC,Alberto F. Baltazar,560,3,AW00000395
397,SC,Wayne N. Banack,1206,1,AW00000397
399,SC,Darrell M. Banks,1870,4,AW00000399
401,SC,Angela Barbariol,368,1,AW00000401
403,SC,David Barber,1108,4,AW00000403
405,SC,Robert L. Barker,462,5,AW00000405
407,SC,Rebecca R. Barley,380,6,AW00000407
409,SC,Brenda L. Barlow,1104,7,AW00000409
411,SC,Josh Barnhill,690,9,AW00000411
413,SC,Adam Barr,404,2,AW00000413
415,SC,Norma N. Barrera,674,1,AW00000415
417,SC,Gytis M Barzdukas,694,4,AW00000417
419,SC,David M. Bartness,400,4,AW00000419
421,SC,Karel E. Bates,670,4,AW00000421
423,SC,Ciro J. Bauer,698,5,AW00000423
425,SC,Glenna L. Beanston,1162,6,AW00000425
427,SC,Shaun Beasley,508,7,AW00000427
429,SC,John A. Beaver,564,9,AW00000429
431,SC,Christopher R. Beck,392,3,AW00000431
433,SC,Bradley Beck,600,1,AW00000433
435,SC,Benjamin J. Becker,848,4,AW00000435
437,SC,Ann Beebe,570,4,AW00000437
439,SC,Shane J. Belli,850,4,AW00000439
441,SC,Stanley A. Alan,364,5,AW00000441
443,SC,Mason Bendixen,566,6,AW00000443
445,SC,John M. Bennetts,854,7,AW00000445
447,SC,Ido Ben-Sachar,426,9,AW00000447
449,SC,Edna J. Benson,1924,5,AW00000449
451,SC,Payton P. Benson,858,1,AW00000451
453,SC,Max Benson,926,3,AW00000453
455,SC,Scot A. Bent,1920,4,AW00000455
457,SC,Richard M. Bentley,862,4,AW00000457
459,SC,Marian M. Berch,922,5,AW00000459
461,SC,Karen Berge,1916,6,AW00000461
463,SC,Alexander J. Berger,866,7,AW00000463
465,SC,John M. Berger,918,9,AW00000465
467,SC,Kris R. Bergin,1912,5,AW00000467
469,SC,Andreas Berglund,870,1,AW00000469
471,SC,Robert M. Bernacchi,914,4,AW00000471
473,SC,Matthias Berndt,1204,4,AW00000473
475,SC,John Berry,874,4,AW00000475
477,SC,Steven B. Brown,910,5,AW00000477
479,SC,Chris N. Bidelman,1200,6,AW00000479
481,SC,Mary B. Billstrom,1830,7,AW00000481
483,SC,Jimmy Bischoff,906,9,AW00000483
485,SC,Mary Bishop,306,5,AW00000485
487,SC,Mae M. Black,1834,1,AW00000487
489,SC,Jackie E. Blackwell,902,4,AW00000489
491,SC,Donald L. Blanton,302,4,AW00000491
493,SC,Linda E. Burnett,1838,4,AW00000493
495,SC,Michael Greg Blythe,898,5,AW00000495
497,SC,Gabriel L. Bockenkamp,324,6,AW00000497
499,SC,Michael L. Bohling,1842,7,AW00000499
501,SC,Corinna Bolender,894,9,AW00000501
503,SC,Luis Bonifaz,320,2,AW00000503
505,SC,Randall Boseman,1846,1,AW00000505
507,SC,Stephanie Bourne,486,4,AW00000507
509,SC,Eli Bowen,316,4,AW00000509
511,SC,Lester J. Bowman,1850,4,AW00000511
513,SC,David M. Bradley,1468,5,AW00000513
515,SC,Cornelius L. Brandon,1908,6,AW00000515
517,SC,Richard Bready,594,7,AW00000517
519,SC,Sara N. Breer,1464,9,AW00000519
521,SC,Ted Bremer,1904,2,AW00000521
523,SC,Alan Brewer,954,3,AW00000523
525,SC,Walter J. Brian,1460,5,AW00000525
527,SC,Christopher M. Bright,1900,3,AW00000527
529,SC,Carol J. Brink,958,4,AW00000529
531,SC,David J. Brink,1456,5,AW00000531
533,SC,John R. Brooks,1896,6,AW00000533
535,SC,Willie P. Brooks,962,7,AW00000535
537,SC,Carolee J. Brown,1452,9,AW00000537
539,SC,Jo Brown,1248,2,AW00000539
541,SC,Robert Brown,536,1,AW00000541
543,SC,Kevin F. Browne,1448,3,AW00000543
545,SC,Mary K. Browning,1244,4,AW00000545
547,SC,Dave P. Browning,1446,4,AW00000547
549,SC,Bridget E. Browqett,1240,5,AW00000549
551,SC,Eric J. Brumfield,312,6,AW00000551
553,SC,Dick R. Brummer,1442,7,AW00000553
555,SC,Michael Brundage,350,9,AW00000555
557,SC,Shirley R. Bruner,328,2,AW00000557
559,SC,June B. Brunner,1438,1,AW00000559
561,SC,Dirk J. Bruno,342,4,AW00000561
563,SC,Nancy Buchanan,338,4,AW00000563
565,SC,Janaina Barreiro Gambaro Bueno,458,4,AW00000565
567,SC,Edward T. Buensalido,334,5,AW00000567
569,SC,Megan E. Burke,346,6,AW00000569
571,SC,Ingrid K. Burkhardt,1114,7,AW00000571
573,SC,Karren K. Burkhardt,300,9,AW00000573
575,SC,Ovidiu Burlacu,878,2,AW00000575
577,SC,Dana H. Burnell,1118,1,AW00000577
579,SC,Timothy B. Burnett,296,3,AW00000579
581,SC,Stephen R. Burton,882,4,AW00000581
583,SC,Deanna R. Buskirk,1796,4,AW00000583
585,SC,Jared L. Bustamante,292,5,AW00000585
587,SC,Richard A. Byham,886,6,AW00000587
589,SC,David J. Byrnes,1800,7,AW00000589
591,SC,Ryan Calafato,666,9,AW00000591
593,SC,Sylvia A. Caldwell,890,2,AW00000593
595,SC,Mari B. Caldwell,1804,1,AW00000595
597,SC,Barbara J. Calone,1100,4,AW00000597
599,SC,Lindsey R. Camacho,652,4,AW00000599
601,SC,Gustavo Camargo,1808,1,AW00000601
603,SC,DeeDee J. Cameron,1096,5,AW00000603
605,SC,Deborah M. Lee,656,1,AW00000605
607,SC,Joan M. Campbell,1812,4,AW00000607
609,SC,David Campbell,1092,4,AW00000609
611,SC,Henry L. Campen,480,5,AW00000611
613,SC,Chris Cannon,1816,6,AW00000613
615,SC,Joseph J. Cantoni,1088,8,AW00000615
617,SC,Suzana De Abreu A. Canuto,1122,10,AW00000617
619,SC,Jun Cao,1820,2,AW00000619
621,SC,Johnny A. Caprio,1084,1,AW00000621
623,SC,Richard Carey,1126,3,AW00000623
625,SC,Carlton M. Carlisle,1824,4,AW00000625
627,SC,Ty Loren Carlson,1080,5,AW00000627
629,SC,Jane N. Carmichael,1130,6,AW00000629
631,SC,Jovita A. Carmody,1364,6,AW00000631
633,SC,Steve J. Carnes,1076,8,AW00000633
635,SC,Fernando Caro,1960,10,AW00000635
637,SC,Rob Caron,1368,6,AW00000637
639,SC,Andy Carothers,1072,8,AW00000639
641,SC,Donna F. Carreras,1964,10,AW00000641
643,SC,Rosmarie J. Carroll,1372,3,AW00000643
645,SC,Matthew Carroll,1068,1,AW00000645
647,SC,Joseph N. Castellucio,1968,4,AW00000647
649,SC,Pamela A. Carlson,1376,4,AW00000649
651,SC,Raul E. Casts,1064,5,AW00000651
653,SC,Elizabeth E. Catalano,1972,6,AW00000653
655,SC,Matthew J. Cavallari,1060,6,AW00000655
657,SC,Brigid F. Cavendish,1974,8,AW00000657
659,SC,Andrew Cencini,1382,10,AW00000659
661,SC,Stacey M. Cereghino,1056,6,AW00000661
663,SC,Baris Cetinok,420,8,AW00000663
665,SC,Sean Chai,1386,10,AW00000665
667,SC,Pat A. Chambers,1052,2,AW00000667
669,SC,Forrest J. Chandler,822,1,AW00000669
671,SC,Lee J. Chapla,1390,4,AW00000671
673,SC,Greg Chapman,1048,1,AW00000673
675,SC,Neil Charney,826,5,AW00000675
677,SC,Hao Chen,1394,6,AW00000677
679,SC,John Y. Chen,1044,6,AW00000679
681,SC,Pei Chow,830,8,AW00000681
683,SC,Yao-Qiang Cheng,1398,10,AW00000683
685,SC,Nicky E. Chesnut,1040,6,AW00000685
687,SC,Susan B. Chestnut,834,8,AW00000687
689,SC,Martin Chisholm,1402,10,AW00000689
691,SC,Mike M. Choi,1036,2,AW00000691
693,SC,Ruth A. Choin,838,1,AW00000693
695,SC,Anthony Chor,638,3,AW00000695
697,SC,Charles M. Christensen,1032,1,AW00000697
699,SC,Jill J. Christie,842,5,AW00000699
701,SC,Alice Clark,844,6,AW00000701
11046,IN,Julia Wilson,,9,AW00011046
11047,IN,Julia Moore,,9,AW00011047
11048,IN,Julia G Taylor,,9,AW00011048
11049,IN,Julia Anderson,,4,AW00011049
11050,IN,Julia B Thomas,,9,AW00011050
11051,IN,Joe F Alonso,,9,AW00011051
11052,IN,Joe J Romero,,9,AW00011052
11053,IN,Joe A Navarro,,4,AW00011053
11054,IN,Julia E Jackson,,9,AW00011054
11055,IN,Judith R White,,9,AW00011055
11056,IN,Julia T Harris,,9,AW00011056
11057,IN,Julia Martin,,9,AW00011057
11058,IN,Joe Gutierrez,,9,AW00011058
11059,IN,Julia Thompson,,9,AW00011059
11060,IN,Julia B Garcia,,9,AW00011060
11061,IN,Joe A Torres,,9,AW00011061
11062,IN,Joe A Dominguez,,1,AW00011062
11063,IN,Julia Martinez,,1,AW00011063
11064,IN,Marshall Gao,,4,AW00011064
11065,IN,Joe Gill,,4,AW00011065
11066,IN,Julia Robinson,,1,AW00011066
11067,IN,Joe C Vazquez,,1,AW00011067
11068,IN,Joe Blanco,,9,AW00011068
11069,IN,Julia A Rodriguez,,9,AW00011069
11070,IN,Julia Lewis,,9,AW00011070
11071,IN,Joe M Serrano,,9,AW00011071
11072,IN,Julia Lee,,9,AW00011072
11073,IN,Joe Ramos,,9,AW00011073
11074,IN,Joe L Carlson,,9,AW00011074
11075,IN,Julia Walker,,9,AW00011075
11076,IN,Julia L Hall,,9,AW00011076
11077,IN,Jennifer A Smith,,9,AW00011077
11078,IN,Joe Sanz,,6,AW00011078
11079,IN,Jennifer F Johnson,,9,AW00011079
11080,IN,Joe Rubio,,9,AW00011080
11081,IN,Jennifer E Williams,,4,AW00011081
11082,IN,Roy M Suri,,4,AW00011082
11083,IN,Jennifer L Jones,,4,AW00011083
11084,IN,Roy Kapoor,,1,AW00011084
11085,IN,Jennifer A Brown,,4,AW00011085
11086,IN,Roy R Chandra,,4,AW00011086
11087,IN,Jennifer A Davis,,4,AW00011087
11088,IN,Jennifer Miller,,4,AW00011088
11089,IN,Jennifer Wilson,,4,AW00011089
11090,IN,Jennifer A Moore,,4,AW00011090
11091,IN,Jennifer Taylor,,6,AW00011091
11092,IN,Roy A Patel,,9,AW00011092
11093,IN,Jennifer M Anderson,,9,AW00011093
11094,IN,Jennifer Thomas,,9,AW00011094
11095,IN,Roy Vance,,9,AW00011095
11096,IN,Jennifer Jackson,,9,AW00011096
11097,IN,Roy P Malhotra,,9,AW00011097
11098,IN,Jennifer S White,,9,AW00011098
11099,IN,Jennifer R Harris,,9,AW00011099
11100,IN,Roy J Sai,,9,AW00011100
11101,IN,Jennifer P Thompson,,9,AW00011101
11102,IN,Jennifer Garcia,,9,AW00011102
11103,IN,Roy W Arun,,9,AW00011103
